diagnosis,count,percentage,global,irrelevant,local
technically unsatisfactory tracing,3,0.0,0,1,0
sinus tachycardia with pvcs with 1st degree a-v block.,3,0.0,1,0,1
consider inferoposterior infarct,3,0.0,1,0,0
inferior and anterior t wave changes suggest myocardial injury/ischemia,3,0.0,1,0,1
lead(s) v5 were not used for morphology analysis,3,0.0,0,1,0
lead(s) unsuitable for analysis: ii iii avl avf v1 v3 v4 v5 v6,3,0.0,0,1,0
lead(s) unsuitable for analysis: i ii iii avr avl avf,3,0.0,0,1,0
lead(s) unsuitable for analysis: iii avl v1 v2 v3 v6,3,0.0,0,1,0
inferior/lateral st changes may be due to hypertrophy and/or ischemia,3,0.0,1,0,1
possible old lateral infarction,3,0.0,1,0,0
anterior t wave changes may be due to myocardial infarction or cva,3,0.0,1,0,1
possible ectopic atrial tachycardia with frequent multifocal pvcs,3,0.0,1,0,1
sinus arrhythmia with frequent multifocal pvcs with borderline 1st degree a-v block.,3,0.0,1,0,1
atrial flutter with variable a-v block.,3,0.0,1,0,0
probable atrial fibrillation with paroxysmal idioventricular rhythm or aberrant ventricular conduction,3,0.0,1,0,1
sinus bradycardia with sinus arrhythmia with pac(s) with borderline 1st degree a-v block,3,0.0,1,0,1
sinus bradycardia with aberrantly conducted supraventricular complexes with interpolated pvcs.,3,0.0,1,0,1
irregular ectopic atrial bradycardia with pvcs,3,0.0,1,0,1
probable atrial fibrillation with paroxysmal idioventricular rhythm.,3,0.0,1,0,0
sinus tachycardia with aberrantly conducted supraventricular complexes with pvcs with pacs,3,0.0,1,0,1
possible atrial flutter with bigeminal pvcs or aberrant ventricular conduction.,3,0.0,1,0,1
inferior t wave changes are abnormal,3,0.0,0,0,1
consider acute inferior and lateral infarction,3,0.0,1,0,0
probable anterior infarction - age undetermined,3,0.0,1,0,0
anterolateral st-t changes are borderline abnormal for age/sex,3,0.0,1,0,1
lead(s) unsuitable for analysis: ii iii avr avl avf v4 v5,3,0.0,0,1,0
*** extensive infarct *** with possible acute anteroseptal changes,3,0.0,1,0,1
lead(s) unsuitable for analysis: i ii avr v1 v2 v3 v4 v6,3,0.0,0,1,0
"minimal st depression, lateral leads",3,0.0,0,0,1
inferior and septal t wave changes,3,0.0,0,0,1
"posterior infarct, acute (lcx)",3,0.0,1,0,0
possible ectopic atrial rhythm with occasional pacs.,3,0.0,1,0,1
lead(s) unsuitable for analysis: ii avr avf v5 v6,3,0.0,0,1,0
lead(s) unsuitable for analysis: avl v4 v5,3,0.0,0,1,0
consider left atrial enlargement,3,0.0,1,0,0
lead(s) unsuitable for analysis: ii avf v6,3,0.0,0,1,0
ant/septal+lateral t wave changes,3,0.0,0,0,1
lead(s) unsuitable for analysis: i iii avl v4,3,0.0,0,1,0
extensive st changes may be due to myocardial ischemia,3,0.0,1,0,1
atrial flutter with interpolated pvc(s).,3,0.0,1,0,1
sinus bradycardia with sinus arrhythmia with undetermined irregularity with 1st degree a-v block,3,0.0,1,0,0
lead(s) unsuitable for analysis: i ii iii avr avf v1 v2 v3 v4 v5 v6,3,0.0,0,1,0
lead(s) unsuitable for analysis: iii avl v1 v2,3,0.0,0,1,0
inferior + septal t wave changes,3,0.0,0,0,1
frequent multiform pvcs,3,0.0,1,0,1
lead(s) unsuitable for analysis: i iii avl v5 v6,3,0.0,0,1,0
possible ectopic atrial rhythm with frequent multifocal pvcs with pacs,3,0.0,1,0,1
"partial missing lead(s): v5,v6",3,0.0,0,1,0
septal and lateral st-t changes are abnormal,3,0.0,0,0,1
inferior st-t changes are abnormal,3,0.0,0,0,1
lead(s) unsuitable for analysis: i v3,3,0.0,0,1,0
lead(s) unsuitable for analysis: iii avl avf v5,3,0.0,0,1,0
lead(s) unsuitable for analysis: ii iii avl avf v1,3,0.0,0,1,0
sinus rhythm with frequent pacs with 1st degree a-v block.,3,0.0,1,0,1
probable recent anterior infarct,3,0.0,1,0,0
probable recent lateral infarct,3,0.0,1,0,0
"repol abnrm, probable ischemia, anterior lds",3,0.0,1,0,1
possible extensive infarct with acute anteroseptal changes,3,0.0,1,0,1
inferior+ant/septal st elevation - possible early repolarization,3,0.0,1,0,1
anterolateral t wave changes are borderline,3,0.0,1,0,1
lead(s) unsuitable for analysis: i v6,3,0.0,0,1,0
atrial fibrillation with interpolated pvc(s),3,0.0,1,0,1
atrial fibrillation with slow ventricular response with frequent multifocal pvcs,3,0.0,1,0,1
sinus tachycardia with frequent multifocal pvcs with borderline 1st degree a-v block.,3,0.0,1,0,1
sinus rhythm with multifocal interpolated pvcs with 1st degree a-v block,3,0.0,1,0,1
q waves may be due to cardiomyopathy,3,0.0,1,0,1
inferior+ant/septal t wave change suggest myocardial infarction,3,0.0,1,0,1
consider wolff-parkinson-white pattern type a,3,0.0,1,0,1
sinus bradycardia with aberrantly conducted supraventricular complexes with interpolated pvcs,3,0.0,1,0,1
lead(s) unsuitable for analysis: i ii avr v6,3,0.0,0,1,0
lateral t wave changes suggest myocardial ischemia,3,0.0,1,0,1
lead(s) unsuitable for analysis: avr v4 v5,3,0.0,0,1,0
sinus rhythm with fusion complexes with 1st degree a-v block,3,0.0,1,0,1
anteroseptal t wave changes are borderline,3,0.0,1,0,1
possible extensive infarct with acute inferior and lateral changes,3,0.0,1,0,1
lateral st-t changes may be due to myocardial infarction or cva,3,0.0,1,0,1
inferior st elevation may be a normal variant for age,3,0.0,0,0,1
lead(s) unsuitable for analysis: i ii iii avl avf v1 v2,3,0.0,0,1,0
extensive infarct with acute lateral changes,3,0.0,1,0,1
"repol abnrm, probable ischemia, inferior lds",3,0.0,1,0,1
sinus bradycardia with pvc(s) with pac(s) with borderline 1st degree a-v block.,3,0.0,1,0,1
probable acute lateral infarct,3,0.0,1,0,0
consider anterior infarction - although changes v3-v4 may be due to left ventricular hypertrophy also present,3,0.0,1,0,1
possible atrial flutter with interpolated pvcs.,3,0.0,1,0,1
sinus rhythm with frequent multifocal pvcs with occasional pacs,3,0.0,1,0,1
sinus bradycardia with sinus arrhythmia with interpolated pvcs.,3,0.0,1,0,1
sinus bradycardia with aberrantly conducted supraventricular complexes with interpolated pvc(s).,3,0.0,1,0,1
inferior st elevation - probable post operative pericarditis,3,0.0,1,0,1
probable left ventricular hypertrophy with secondary st-t changes,3,0.0,1,0,1
ant/septal and lateral t wave changes may be due to myocardial infarct or cva,3,0.0,1,0,1
lead(s) unsuitable for analysis: i iii avl avf v2,3,0.0,0,1,0
sinus bradycardia with aberrantly conducted supraventricular complexes with pvc(s).,3,0.0,1,0,1
inferior/lateral t wave changes suggest myocardial ischemia,3,0.0,1,0,1
probable lateral infarction - age undetermined,3,0.0,1,0,0
possible atrial flutter with uncontrolled ventricular response with pvcs or aberrant ventricular conduction,3,0.0,1,0,1
lead(s) avr were not used for morphology analysis,3,0.0,0,1,0
"lateral infarct, acute (lad)",3,0.0,1,0,0
demand pacing with borderline 1st degree a-v block,3,0.0,1,0,1
atrial flutter with rapid ventricular response with frequent multifocal pvcs or aberrant ventricular conduction.,3,0.0,1,0,1
septal t wave changes are borderline,3,0.0,1,0,1
irregular ectopic atrial tachycardia with frequent multifocal pvcs.,2,0.0,1,0,1
atrial flutter with 2:1 a-v block with pvc(s) or aberrant ventricular conduction,2,0.0,1,0,1
possible junctional rhythm with pvcs.,2,0.0,1,0,1
probable atrial fibrillation with rapid ventricular response with fusion complexes,2,0.0,1,0,1
right ventricular hypertrophy with secondary st-t changes,2,0.0,1,0,1
possible junctional rhythm with pvc(s),2,0.0,1,0,1
lateral st-t changes are possibly secondary to valvular heart disease,2,0.0,1,0,1
sinus bradycardia with sinus arrhythmia with pac(s) with borderline 1st degree a-v block.,2,0.0,1,0,1
sinus tachycardia with frequent pvcs with pac(s) with borderline 1st degree a-v block,2,0.0,1,0,1
"minimal st elevation, lateral leads",2,0.0,0,0,1
lead(s) unsuitable for analysis: ii iii avr avl avf v1 v2 v3 v4 v5,2,0.0,0,1,0
lead(s) unsuitable for analysis: ii iii avr avl avf v5 v6,2,0.0,0,1,0
lead(s) unsuitable for analysis: i ii iii avr avl avf v3 v5 v6,2,0.0,0,1,0
lead(s) unsuitable for analysis: ii iii avr avl avf v3 v4,2,0.0,0,1,0
lead(s) unsuitable for analysis: i ii iii avr avl avf v5,2,0.0,0,1,0
sinus bradycardia with sinus arrhythmia with interpolated pvcs with borderline 1st degree a-v block,2,0.0,1,0,1
atrial flutter with intermittent conduction defect,2,0.0,1,0,0
sinus bradycardia with aberrantly conducted supraventricular complexes with interpolated pvc(s) with 1st degree a-v block,2,0.0,1,0,1
sinus bradycardia with sinus arrhythmia with aberrantly conducted supraventricular complexes with 1st degree a-v block,2,0.0,1,0,1
atrial flutter with paroxysmal idioventricular rhythm.,2,0.0,1,0,0
wide complex tachycardia - possible ventricular tachycardia,2,0.0,1,0,1
sinus tachycardia with aberrantly conducted supraventricular complexes with multifocal pvcs with pac(s),2,0.0,1,0,1
inferior + septal st changes are nonspecific,2,0.0,0,0,1
possible atrial flutter with rapid ventricular response with non-sustained ventricular tachycardia,2,0.0,1,0,0
sinus arrhythmia with interpolated pvc(s) with borderline 1st degree a-v block.,2,0.0,1,0,1
probable extensive infarction with acute changes in the inferior + lateral leads,2,0.0,1,0,1
lateral st-t changes are consistent with myocardial ischemia,2,0.0,1,0,1
anterolateral st elevation - probable extension of infarct,2,0.0,1,0,1
possible ectopic atrial bradycardia with pvc(s) with pac(s).,2,0.0,1,0,1
no interpretation offered because of unknown age and/or gender,2,0.0,0,1,0
anteroseptal st changes suggest myocardial infarction,2,0.0,1,0,1
sinus tachycardia with non-sustained ventricular tachycardia with borderline 1st degree a-v block,2,0.0,1,0,1
"partial missing lead(s): i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6",2,0.0,0,1,0
sinus tachycardia with interpolated pvcs,2,0.0,1,0,1
possible ectopic atrial rhythm with undetermined irregularity,2,0.0,1,0,0
possible ectopic atrial bradycardia with multifocal pvcs.,2,0.0,1,0,1
atrial fibrillation with uncontrolled ventricular response with frequent pvcs,2,0.0,1,0,1
inferior and ant/septal st changes may be due to hypertrophy and/or ischemia,2,0.0,1,0,1
inferior + anterior st-t change may be related to electronic pacemaker,2,0.0,1,0,1
possible accelerated junctional rhythm with pvcs,2,0.0,1,0,1
lead(s) unsuitable for analysis: iii avl avf v6,2,0.0,0,1,0
demand atrial pacing with 1st degree a-v block,2,0.0,1,0,1
lead(s) unsuitable for analysis: i avr avl v5 v6,2,0.0,0,1,0
lead(s) unsuitable for analysis: i ii iii avr avl avf v1,2,0.0,0,1,0
lead(s) unsuitable for analysis: avr v4 v5 v6,2,0.0,0,1,0
bigeminal premature atrial contractions,2,0.0,1,0,1
multiform pvcs,2,0.0,1,0,1
possible bvh with repolarization abnormality,2,0.0,1,0,1
possible ectopic atrial rhythm with frequent multifocal pvcs with pac(s),2,0.0,1,0,1
sinus bradycardia with pvc(s) with pac(s) with 1st degree a-v block.,2,0.0,1,0,1
sinus rhythm with pvcs with occasional pacs with borderline 1st degree a-v block,2,0.0,1,0,1
sinus bradycardia with interpolated pvc(s) with pac(s) with 1st degree a-v block,2,0.0,1,0,1
sinus bradycardia with 2:1 a-v block,2,0.0,1,0,0
sinus tachycardia with non-sustained ventricular tachycardia with pacs,2,0.0,1,0,1
sinus tachycardia with sinus arrhythmia with multifocal pvcs with borderline 1st degree a-v block,2,0.0,1,0,1
probable atrial tachycardia with pvcs.,2,0.0,1,0,1
borderline intraventricular conduction delay,2,0.0,1,0,0
lead(s) unsuitable for analysis: ii v3 v4 v5,2,0.0,0,1,0
old anterolateral infarct,2,0.0,1,0,0
septal+lateral st-t changes suggest myocardial injury/ischemia,2,0.0,1,0,1
probable atrial fibrillation with rapid ventricular response with multifocal pvcs.,2,0.0,1,0,1
atrial flutter with rapid ventricular response with 2:1 a-v block with non-sustained ventricular tachycardia.,2,0.0,1,0,1
inferior and septal t wave changes are probably due to ventricular hypertrophy,2,0.0,1,0,1
sinus arrhythmia with paroxysmal idioventricular rhythm,2,0.0,1,0,0
sinus bradycardia with fusion complexes,2,0.0,1,0,1
irregular ectopic atrial rhythm with multifocal pvcs,2,0.0,1,0,1
irregular ectopic atrial bradycardia with interpolated pvc(s),2,0.0,1,0,1
possible atrial flutter with rapid ventricular response with paroxysmal idioventricular rhythm or aberrant ventricular conduction,2,0.0,1,0,1
"missing lead(s): v1,v2",2,0.0,0,1,0
lead(s) unsuitable for analysis: ii v2,2,0.0,0,1,0
lead(s) unsuitable for analysis: i avl v1,2,0.0,0,1,0
lead(s) unsuitable for analysis: i ii avr avf v5 v6,2,0.0,0,1,0
lead(s) unsuitable for analysis: avr v3 v4,2,0.0,0,1,0
lead(s) unsuitable for analysis: iii avf v2 v3 v4 v5 v6,2,0.0,0,1,0
lead(s) unsuitable for analysis: i ii iii avr avl avf v1 v2 v5 v6,2,0.0,0,1,0
lead(s) unsuitable for analysis: ii iii avr avl avf v1 v3 v5 v6,2,0.0,0,1,0
lead(s) unsuitable for analysis: i ii avr avl v6,2,0.0,0,1,0
lead(s) unsuitable for analysis: i ii iii avl avf v1,2,0.0,0,1,0
irregular ectopic atrial bradycardia with 2nd degree (mobitz ii) sa block.,2,0.0,1,0,1
anterolateral t wave changes are borderline abnormal for age/sex,2,0.0,1,0,1
changes in v2 are probably due to left ventricular hypertrophy but consider septal infarction,2,0.0,1,0,1
lead(s) unsuitable for analysis: i ii iii avr avl avf v1 v2 v3,2,0.0,0,1,0
lead(s) unsuitable for analysis: ii v1 v2 v3,2,0.0,0,1,0
possible extensive infarct with acute inferior and anteroseptal changes,2,0.0,1,0,1
inferior and anterior t wave changes are consistent with myocardial ischemia,2,0.0,1,0,1
lead(s) unsuitable for analysis: v1 v4 v5 v6,2,0.0,0,1,0
lead(s) unsuitable for analysis: avr v3 v4 v5 v6,2,0.0,0,1,0
"baseline wander in lead(s) v2,v3",2,0.0,0,1,0
inferior and ant/septal st changes may be due to myocardial ischemia,2,0.0,1,0,1
septal qrs changes may be due to ventricular hypertrophy,2,0.0,1,0,1
*** extensive infarct *** with possible acute lateral changes,2,0.0,1,0,1
sinus rhythm with interpolated pvc(s) with pac(s) with borderline 1st degree a-v block.,2,0.0,1,0,1
marked left axis deviation - consider congenital heart disease,2,0.0,1,0,0
anteroseptal st elevation may be a normal variant for age,2,0.0,0,0,1
sinus bradycardia with sinus arrhythmia with undetermined irregularity with 1st degree a-v block.,2,0.0,1,0,0
atrial fibrillation with interpolated pvcs,2,0.0,1,0,1
lead(s) unsuitable for analysis: ii avr v1,2,0.0,0,1,0
sinus bradycardia with multifocal pvcs with 1st degree a-v block.,2,0.0,1,0,1
irregular ectopic atrial rhythm with aberrantly conducted supraventricular complexes.,2,0.0,1,0,1
probable sinus tachycardia with non-sustained ventricular tachycardia.,2,0.0,1,0,1
atrial flutter with uncontrolled ventricular response with non-sustained ventricular tachycardia.,2,0.0,1,0,0
possible ectopic atrial tachycardia with pvcs,2,0.0,1,0,1
sinus bradycardia with occasional pacs with borderline 1st degree a-v block,2,0.0,1,0,1
possible ectopic atrial rhythm with frequent pacs.,2,0.0,1,0,1
lead(s) unsuitable for analysis: iii avf v1 v2 v3 v4 v5,2,0.0,0,1,0
sinus arrhythmia with aberrantly conducted supraventricular complexes with multifocal pvcs.,2,0.0,1,0,1
lead(s) unsuitable for analysis: i avr avl avf v3 v4 v5 v6,2,0.0,0,1,0
lead(s) unsuitable for analysis: avr avl avf v1 v2 v3 v4 v5 v6,2,0.0,0,1,0
lead(s) unsuitable for analysis: ii iii avr avl avf v1 v2 v4 v5 v6,2,0.0,0,1,0
lead(s) unsuitable for analysis: avl avf,2,0.0,0,1,0
lead(s) unsuitable for analysis: i ii avr avf v3 v4 v5 v6,2,0.0,0,1,0
lead(s) unsuitable for analysis: ii avr v2,2,0.0,0,1,0
sinus bradycardia with sinus arrhythmia with multifocal interpolated pvcs.,2,0.0,1,0,1
lead(s) unsuitable for analysis: iii avl v1 v2 v3 v4 v6,2,0.0,0,1,0
sinus bradycardia with multifocal pvcs with pac(s) with borderline 1st degree a-v block.,2,0.0,1,0,1
faulty v2 - omitted from analysis.,2,0.0,0,1,0
demand atrial pacing with 1st degree a-v block.,2,0.0,1,0,1
inferior + anterior st-t change are borderline abnormal for age/sex,2,0.0,1,0,1
possible right ventricular hypertrophy with secondary st-t changes,2,0.0,1,0,1
septal t wave changes are normal for age and race,2,0.0,0,0,1
--- possible measurement error ---.,2,0.0,0,1,0
anterior t wave changes may be related to electronic pacemaker,2,0.0,0,0,1
probable acute septal infarction,2,0.0,1,0,0
irregular ectopic atrial rhythm with multifocal pvcs.,2,0.0,1,0,1
atrial flutter with rapid ventricular response with bigeminal pvcs or aberrant ventricular conduction.,2,0.0,1,0,1
"missing lead(s): v1,v2,v3",2,0.0,0,1,0
possible ectopic atrial rhythm with aberrantly conducted supraventricular complexes with multifocal pvcs,2,0.0,1,0,1
lead(s) unsuitable for analysis: iii avf v1 v3 v4 v5,2,0.0,0,1,0
possible atrial flutter with paroxysmal idioventricular rhythm.,2,0.0,1,0,0
possible accelerated junctional rhythm with pvcs.,2,0.0,1,0,1
irregular ectopic atrial bradycardia with pacs,2,0.0,1,0,1
possible ectopic atrial rhythm with multifocal pvcs with pac(s).,2,0.0,1,0,1
probable atrial tachycardia with frequent pvcs.,2,0.0,1,0,1
probable supraventricular tachycardia with pvcs.,2,0.0,1,0,1
sinus tachycardia with aberrantly conducted supraventricular complexes with frequent multifocal pvcs with pac(s).,2,0.0,1,0,1
lead(s) unsuitable for analysis: i iii avl v3,2,0.0,0,1,0
lead(s) unsuitable for analysis: ii iii avf v5 v6,2,0.0,0,1,0
lead(s) unsuitable for analysis: iii avl v2 v5 v6,2,0.0,0,1,0
demand pacing; interpretation is based on unpaced beats with borderline 1st degree a-v block,2,0.0,1,0,1
lead(s) unsuitable for analysis: i avr v2 v3 v4 v5 v6,2,0.0,0,1,0
lead(s) unsuitable for analysis: i ii iii avl avf v1 v3 v4 v5 v6,2,0.0,0,1,0
lead(s) unsuitable for analysis: i ii avr v1 v5 v6,2,0.0,0,1,0
lead(s) unsuitable for analysis: ii avr v1 v2 v3 v4 v5 v6,2,0.0,0,1,0
inferior st changes may be a normal variant for a female of this age,2,0.0,0,0,1
lead(s) unsuitable for analysis: iii avl v3 v4 v5,2,0.0,0,1,0
anterior st-t changes are abnormal for age/sex,2,0.0,0,0,1
possible ectopic atrial rhythm with multifocal pvcs with pacs.,2,0.0,1,0,1
